title,vote_average,vote_count,original_language
The X Files,6.8,1300,en
Meet Dave,5.3,1186,en
The Tuxedo,5.7,1601,en
Small Soldiers,6.5,1748,en
Superman II,6.7,1863,en
Cowboy Bebop: The Movie,7.7,637,ja
Automata,5.8,1411,en
Color Out of Space,6.1,1035,en
The Incident,6.9,125,es
Dreamcatcher,5.5,1479,en
Batman Beyond: Return of the Joker,7.3,809,en
Replicas,6.1,1113,en
Black Fox,7,28,ja
A.I. Artificial Intelligence,7,5291,en
Ultimate Avengers: The Movie,6.8,284,en
Dredd,6.8,4267,en
Æon Flux,5.6,1835,en
Deep Blue Sea 2,5.2,434,en
Hot Tub Time Machine,6,2065,en
Dead Space: Downfall,6.2,271,en
Anon,5.9,1311,en
Star Trek: Insurrection,6.4,950,en
The Time Machine,6.2,1859,en
Illang: The Wolf Brigade,6.4,222,ko
Justice League vs. the Fatal Five,6.9,272,en
How It Ends,5.3,1683,en
Galaxy Quest,7.1,1784,en
Buzz Lightyear of Star Command: The Adventure Begins,6.5,285,en
L.O.R.D: Legend of Ravaging Dynasties,7,95,zh
Arpeggio of Blue Steel -Ars Nova Cadenza-,7.8,9,ja
Iron Man: Rise of Technovore,5.8,133,ja
2046,7.2,668,zh
Metropolis,7.1,358,ja
Land of the Lost,5.5,1091,en
Moonraker,6.1,1563,en
Supergirl,5.5,469,en
The Fly,7.4,3477,en
Roujin Z,6.4,78,ja
Ghost in the Shell 2.0,7.4,314,ja
The Yin-Yang Master: Dream of Eternity,7.5,136,zh
Justice League: Crisis on Two Earths,7.3,566,en
Godzilla: City on the Edge of Battle,6.5,252,ja
Superman/Batman: Apocalypse,7.2,556,en
Deep Blue Sea,5.9,1987,en
Toxic,7,30,es
"Honey, I Shrunk the Kids",6.3,2531,en
LEGO Star Wars Holiday Special,6.7,246,en
The Core,5.7,1461,en
King of Thorn,6.5,111,ja
The Hitchhiker's Guide to the Galaxy,6.7,3330,en
The Day the Earth Stood Still,5.6,2840,en
Universal Soldier: Day of Reckoning,5.5,343,en
Beneath the Planet of the Apes,6.2,996,en
Avatar 3,0,0,en
Dark City,7.3,2253,en
The Island,6.7,4632,en
Revolt,5.5,293,en
Kill Switch,4.7,196,en
Rim of the World,6,814,en
Daybreakers,6.3,1629,en
Ultimate Avengers 2: Rise of the Panther,6.7,237,en
Mortal Kombat: Annihilation,4.5,933,en
Barbie Video Game Hero,7,186,en
KanColle Movie,4.8,13,ja
Slither,6.5,1170,en
Lake Placid,5.8,901,en
Another Gantz,7.1,38,ja
Batman and Harley Quinn,6.2,499,en
Gamer,5.7,1996,en
Time Toys,5.9,32,en
Universal Soldier: The Return,5.7,794,en
Assassination Classroom,7.3,152,ja
Steins;Gate: The Movie - Load Region of Déjà Vu,7.6,242,ja
Stasis,3.5,148,en
Downsizing,5.3,3173,en
The Flash,0,0,en
After We Leave,5.3,24,en
Paprika,7.8,1746,ja
The Invasion,6,1217,en
The Recall,4.6,299,en
Sword Art Online the Movie -Progressive- Scherzo of a Deep Night,0,0,ja
The Colony,5.4,954,en
The Signal,6,1417,en
Super Mario Bros.,4.2,946,en
Batman: Bad Blood,7.2,614,en
Wonder Woman,7.3,465,en
Lost in Space,5.4,1016,en
Superman III,5.5,1394,en
Soylent Green,6.9,958,en
IO,4.9,1180,en
Outbreak,6.5,1850,en
Swamp Thing,5.4,272,en
Stalker,8.2,1630,ru
The Jurassic Games,4.6,132,en
Weird Science,6.5,1120,en
Wild Wild West,5.3,2864,en
Morgan,5.8,1271,en
Heavy Metal,6.5,539,en
Surrogates,6.1,2682,en
Hollow Man,5.9,2094,en
Event Horizon,6.5,2177,en
Battle for the Planet of the Apes,5.7,700,en
Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer,6.9,329,en
Hot Bot,4.3,175,en
JLA Adventures: Trapped in Time,6.6,177,en
Steamboy,6.8,303,ja
The Stepford Wives,5.7,1105,en
The Visitor from the Future,7.4,4,fr
They Call Me Jeeg,7.5,2299,it
